lahmanID,proeyekyuuID,2689webID,last_name_en,first_name_en,last_name_jp,first_name_jp
morikda01,03305155,2022005,Moriki,Daichi,森木,大智
shimimu01,71275150,,Shimizu,Musashi,清水,武蔵
kozonke01,31935155,2024033,Kozono,Kenta,小園,健太
ishitha01,81185155,,Ishita,Hayato,石田,隼都
maekase01,41845155,2025021,Maekawa,Seita,前川,誠太
machiha01,41845150,,Machida,Hayato,町田,隼乙
nemotha01,41645153,2022126,Nemoto,Haruka,根本,悠楓
nishimi01,21625150,2025101,Nishikawa,Misho,西川,史礁
kobukda01,81985153,,Kobukata,Daichi,小深田,大地
iwasash01,21325150,2025075,Iwasaki,Shunsuke,岩崎,峻典
muneyru01,53155150,2025055,Muneyama,Rui,宗山,塁
matsuyu01,73175153,2024026,Matsukihira,Yuta,松木平,優太
ichijri01,11315150,2025096,Ichijo,Rikima,一條,力真
satohso01,31035150,,Satoh,Sou,佐藤,爽
nakamyu01,91695150,2025112,Nakamura,Yuto,中村,優斗
teramse01,81485150,,Teramoto,Seiichi,寺本,聖一
kanemyu01,61565150,2025026,Kanemaru,Yumeto,金丸,夢斗
inoueto01,01305153,2023071,Inoue,Tomoya,井上,朋也
kobayta01,61965153,2021059,Kobayashi,Tatsuto,小林,樹斗
mamedta01,23125153,2023076,Mameda,Taishi,豆田,泰志
itanish01,31335153,,Itani,Shoma,居谷,匠真
linku01,43345150,,Lin,Kuan-Chen,林,冠臣
tsuchry01,51455153,2021088,Tsuchida,Ryuku,土田,龍空
martial01,63965159,,Martinez,Alexander,アレクサンダー・マルティネス,
katekko01,71775153,,Katekaru,Kouta,嘉手苅,浩太
sasakta01,11015150,2025015,Sasaki,Tai,佐々木,泰
aramayu01,71175150,2025063,Aramaki,Yu,荒巻,悠
katots01,01705153,,Kato,Tsubasa,加藤,翼
kasasna01,51755153,,Kasashima,Naoki,笠島,尚樹
tanouso01,11415153,2022051,Tanoue,Sota,田上,奏大
ohshish01,01505153,,Ohshiro,Shinno,大城,真乃
nishiyu01,71475157,,Nishihama,Yuusei,西濱,勇星
tsudake01,81285159,2025029,Tsuda,Keishi,津田,啓史
satory01,71075150,2025016,Sato,Ryunosuke,佐藤,柳之介
fukussh01,51855153,2023021,Fukushima,Shota,福島,章太
nakamyu02,61465153,2025088,Nakamigawa,Yuta,仲三河,優太
futamsh01,91895153,2024023,Futamata,Shoichi,二俣,翔一
teranna01,61465150,2025006,Teranishi,Naruki,寺西,成騎
takatno01,41245153,2022001,Takatera,Nozomu,髙寺,望夢
kitary01,51955153,2021008,Kita,Ryoto,来田,涼斗
katayra01,01505150,2025003,Katayama,Raiku,片山,楽生
watarry01,33535159,2024047,Watarai,Ryuki,度会,隆輝
shojiyu01,01205150,2025078,Shoji,Yudai,庄子,雄大
yamamta01,83385153,2023080,Yamamura,Takayoshi,山村,崇嘉
takadta01,21225153,,Takada,Takuto,髙田,琢登
akihiyu01,71175153,2021020,Akihiro,Yuto,秋広,優人
hiroiko01,81685150,2025103,Hiroike,Koshiro,廣池,康志郎
miyahsh01,13115150,2025071,Miyahara,Shunsuke,宮原,駿介
okamohi01,61565153,,Okamoto,Hiroto,岡本,大翔
sakagka01,61965150,,Sakaguchi,Kasuga,坂口,翔颯
hayash01,11815153,,Haya,Shinnosuke,早,真之介
itohry01,81185159,2024117,Itoh,Ryui,伊藤,琉偉
felizcr01,13215150,,Feliz,Cristian,Ｃ．フェリス,
uedako01,11515153,2022109,Ueda,Kotaro,上田,洸太朗
asarita01,51155150,,Asari,Tamon,浅利,太門
yamasko01,13315150,,Yamashiro,Kotaro,山城,航太郎
sakamta02,81985150,,Sakamoto,Tatsuya,坂本,達也
watanse01,83385150,2025094,Watanabe,Seiya,渡部,聖弥
uratash01,81385150,2025065,Urata,Shunsuke,浦田,俊輔
arnaeje01,33535150,,Arnaez,Jean,Ｊ．アルナエス,
takatry01,31235155,,Takata,Ryusei,髙田,竜星
yoshits01,03305150,2025058,Yoshinoh,Tsubasa,吉納,翼
yamamda01,33535153,2022065,Yamamoto,Daito,山本,大斗
takahhi01,61265153,2022108,Takahashi,Hiroto,髙橋,宏斗
acevest01,23925150,2025095,Acevedo,Stiven,Ｓ．アセベド,
matsury02,93195153,2024036,Matsumoto,Ryunosuke,松本,隆之介
mugityu01,33135150,2025009,Mugitani,Yusuke,麦谷,祐介
nakagta01,01405153,,Nakagawa,Takuma,中川,拓真
yamassh01,43345153,2023001,Yamashita,Shunpeita,山下,舜平大
gyofuko01,61765150,,Gyofu,Koha,漁府,輝羽
makihko01,33135153,,Makihara,Kota,牧原,巧汰
watanyu01,13515150,2025023,Watanabe,Yuto,渡邉,悠斗
nagasko01,51655150,,Nagashima,Kosuke,長島,幸佑
tsuriju01,71475153,,Tsuri,Jui,釣,寿生
uchiyso01,91595153,2021035,Uchiyama,Souma,内山,壮真
shimosh01,31235153,,Shimo,Shinnosuke,下,慎之介
kawaske01,41745153,2024004,Kawase,Kento,川瀬,堅斗
aiharyu01,31135150,,Aihara,Yuta,相原,雄太
marceha01,33235155,2025045,Marcelino,Hansel,Ｈ．マルセリーノ,
katohi01,21525150,2025039,Kato,Hibiki,加藤,響
furuita01,91895155,2023077,Furuichi,Takeru,古市,尊
okamosh01,91595150,2025012,Okamoto,Shun,岡本,駿
tsujita02,31435153,,Tsujigaki,Takara,辻垣,高良
irieda01,41345153,2024054,Irie,Daiki,入江,大樹
okadako01,71575150,,Okada,Koichiro,岡田,皓一朗
sasagyo01,91095153,2024087,Sasagawa,Yoshiyasu,笹川,吉康
kuwahsh01,01905153,,Kuwahara,Shuji,桑原,秀侍
nakamsh01,31635153,2023087,Nakamori,Shunsuke,中森,俊介
tanigyu01,81285153,,Tanigawa,Yuito,谷川,唯人
yoshise01,93395150,2025036,Yoshida,Seiya,吉田,聖弥
yanota01,43145150,,Yano,Taijiro,矢野,泰二郎
kawarju01,81785153,2022050,Kawarada,Jumpei,川原田,純平
satota01,51055150,2025085,Sato,Taiyo,佐藤,太陽
antoksh01,01105150,,Antoku,Shun,安德,駿
matsury03,03105153,,Matsumoto,Ryodai,松本,遼大
genke01,21925153,2022020,Gen,Kendai,元,謙太
hasegsh01,81685153,2022095,Hasegawa,Shinya,長谷川,信哉
abeke01,91195153,,Abe,Kenyu,阿部,剣友
shinoke01,41045150,2025040,Shinogi,Kentaro,篠木,健太郎
yamagsh01,63165150,2025062,Yamagata,Shu,山縣,秀
kinosmo01,71975153,,Kinoshita,Motoya,木下,幹也
hosokry01,61865153,2021095,Hosokawa,Ryohei,細川,凌平
uchise01,51555153,2023043,Uchi,Seiryu,内,星龍
katoda01,91795153,,Kato,Dai,加藤,大
nishiry01,21625153,,Nishikawa,Ryosuke,西川,僚祐
sakamha01,71075153,,Sakamoto,Hayato,坂本,勇人
nakayra01,51655153,2022031,Nakayama,Raito,中山,礼都
tokuyka01,11615150,,Tokuyama,Kazuto,德山,一翔
rodrich01,03005159,2024029,Rodriguez,Christian,Ｃ．ロドリゲス,
ohyamry01,11515159,2024081,Ohyama,Ryo,大山,凌
shimoka01,61965159,,Shimomura,Kaito,下村,海翔
shiibts01,21925159,2025120,Shiiba,Tsuyoshi,椎葉,剛
nishiyu02,31635159,2024067,Nishidate,Yuhi,西舘,勇陽
shintyu01,11015159,2024062,Shintoh,Yuya,進藤,勇也
sawanki01,21025151,,Sawano,Kiyoharu,澤野,聖悠
hosonha01,61865159,2024057,Hosono,Haruki,細野,晴希
matsuta01,73175159,2024051,Matsuda,Takuma,松田,啄磨
okabayu01,81585151,2020101,Okabayashi,Yuki,岡林,勇希
sanota01,91095150,,Sano,Taiyo,佐野,大陽
kurebko01,91995151,2020008,Kurebayashi,Kotaro,紅林,弘太郎
ramirmo01,43045159,,Ramirez,Moises,Ｍ．ラミレス,
morike01,33135151,2020017,Mori,Keito,森,敬斗
nakagha02,31635150,2025051,Nakagomi,Haruto,中込,陽翔
ishidyu01,21125159,2024038,Ishida,Yutaro,石田,裕太郎
takitka01,31235159,2024014,Takita,Kazuki,滝田,一希
tanabha01,01205151,2022011,Tanabe,Hayato,田部,隼人
takeury02,51255151,,Takeuchi,Ryushin,竹内,龍臣
matsury04,23125159,2024035,Matsumoto,Ryoto,松本,凌人
kominsh01,81985151,2022077,Komine,Shinri,小峯,新陸
tsurury01,31435151,,Tsurumi,Ryoya,鶴見,凌也
kusaksh01,91795159,2025027,Kusaka,Sho,草加,勝
kudota01,81785150,2025119,Kudo,Taisei,工藤,泰成
uedata01,91395159,2024091,Ueda,Taiga,上田,大河
sasakro01,31035151,2021041,Sasaki,Roki,佐々木,朗希
muraksh01,21825151,,Murakami,Shun,村上,舜
hayasyu01,01605157,2025053,Hayashi,Yuki,林,優樹
mochita01,81885151,2022086,Mochimaru,Taiki,持丸,泰輝
hoshiko01,21825159,,Hoshino,Kotaro,星野,恒太朗
fujitke01,91695151,,Fujita,Kento,藤田,健斗
suzukhi01,81085151,,Suzuki,Hiroto,鈴木,寛人
fukuske01,11815159,,Fukushima,Kein,福島,圭音
miyasyu01,13315159,,Miyasato,Yuwa,宮里,優吾
nagaohi01,51455151,2020043,Nagaoka,Hideki,長岡,秀樹
endohjo01,71575151,,Endoh,Joh,遠藤,成
tsuneha01,31435159,2024012,Tsunehiro,Hayato,常廣,羽也斗
nakatyu01,71475151,,Nakata,Yuito,中田,惟斗
nishiju01,91495151,2021072,Nishi,Junya,西,純矢
tomidre01,51255157,2023100,Tomida,Ren,富田,蓮
muratke01,73375159,2024076,Murata,Kenichi,村田,賢一
ishihyu01,41145159,2024111,Ishihara,Yuki,石原,勇輝
miyazka01,83185159,2024064,Miyazaki,Kazuki,宮崎,一樹
taniofu01,21225151,,Tanioka,Futa,谷岡,楓太
sugitta01,51055159,,Sugita,Takeru,杉田,健
tsudaju01,11415159,,Tsuda,Junya,津田,淳哉
miyaghi01,71875151,2020010,Miyagi,Hiroya,宮城,大弥
funakhi01,01605151,,Funakoshi,Hidetora,舟越,秀虎
kawanke01,71575157,2023016,Kawano,Kei,河野,佳
kojata01,21725159,2024048,Koja,Tatsuki,古謝,樹
rodrilu01,83285155,,Rodriguez,Luis,Ｌ．ロドリゲス,
maeyu01,41645151,2023005,Mae,Yuito,前,佑囲斗
inoueko01,31335151,2020079,Inoue,Kouta,井上,広大
uedaky01,71375159,2024109,Ueda,Kyuto,上田,希由翔
tsujiri01,61265159,2024028,Tsujimoto,Rintaro,辻本,倫太郎
peraljo01,03005153,,Peralta,Jorge,Ｊ．ペラルタ,
hiranya01,11615151,2023014,Hirano,Yamato,平野,大和
yokoyri01,23125151,2021046,Yokoyama,Rikuto,横山,陸人
muratre01,93395159,2024099,Murata,Reon,村田,怜音
iwaish01,51355159,2024075,Iwai,Shunsuke,岩井,俊介
itohda01,11315151,,Itoh,Daisuke,伊藤,大将
takata01,41045159,2024013,Taka,Taichi,髙,太一
kinosmo02,71975151,,Kinoshita,Motohide,木下,元秀
kikuthi01,31935151,2023062,Kikuta,Hirokazu,菊田,拡和
takeuna01,51255159,2024092,Takeuchi,Natsuki,武内,夏暉
inouehi01,71375151,2021084,Inoue,Hiroki,井上,広輝
mizukke01,31835151,,Mizukami,Kei,水上,桂
azumaju01,51155151,2024043,Azuma,Junpei,東妻,純平
akatske01,51155159,,Akatsuka,Kento,赤塚,健利
egawayu01,31535151,,Egawa,Yuto,江川,侑斗
kawanry01,11915151,2022097,Kawano,Ryota,川野,涼太
ishikta01,91195151,2020096,Ishikawa,Takaya,石川,昂弥
ishigyu01,01105159,2024120,Ishiguro,Yuya,石黒,佑弥
mutohat01,01805151,2021049,Mutoh,Atsuki,武藤,敦貴
sincljo01,01905159,,Sinclair,Joseph Konosuke,シンクレア,
nishiko01,11615159,,Nishidate,Kota,西舘,昂汰
ishizso01,01105151,2024083,Ishizuka,Soichiro,石塚,綜一郎
nakasda01,21425159,2024056,Nakashima,Daisuke,中島,大輔
shojiha01,81985159,,Shoji,Haruto,庄司,陽斗
takeory01,71275151,2020045,Takeoka,Ryusei,武岡,龍世
satoke01,71975159,2024021,Sato,Keisuke,佐藤,啓介
hottake01,21625151,2022036,Hotta,Kenshin,堀田,賢慎
nirasyu01,01405151,2022085,Nirasawa,Yuya,韮澤,雄也
ishikta02,91195159,2024044,Ishikami,Taiki,石上,泰輝
ohashta01,61365155,,Ohashi,Takeru,大橋,武尊
inoueha01,51355151,2022039,Inoue,Haruto,井上,温大
kobayju01,41945151,,Kobayashi,Jui,小林,珠維
yamassh02,03105151,2022037,Yamase,Shinnosuke,山瀬,慎之助
kawasto01,51755150,,Kawasaki,Toshiaki,川﨑,俊哲
katsuha01,41745151,,Katsuren,Haruki,勝連,大稀
miuraka01,43145159,,Miura,Katsunari,三浦,克也
hirosyu02,11815150,,Hirosawa,Yu,廣澤,優
uenoky01,01305151,2021098,Ueno,Kyohei,上野,響平
