old_lahmanID,new_lahmanID
abanhxx01,vanhean01
bniimxx01,niemabo01
ikuroxx01,krolia01
crodoxx01,rodrich01
criixx01,leeco01
tnebixx01,nevinty01
areruxx01,lerewan01
ntaarxx01,turleni01
jpachxx01,pacioji01
cgaruxx01,galvacl01
dbishxx01,vicieda01
jresuxx01,leicejo01
hmehixx01,mejiahu01
ereinxx01,reynoed01
kshakxx01,shackke01
jmaabxx01,marveja01
jbuenxx01,wendejb01
rjreixx01,reynorj01
jsukoxx01,scottjo01
freiexx01,reyesfr01
rburexx01,brasiry01
agomexx01,gomezal01
mhowaxx01,whitema02
vpasuxx01,pascuva01
cferuxx01,fernach01
gkaruxx01,culvege01
asandxx01,sandean01
mkoorxx01,coreyma01
jhankxx01,hancoju01
rpedoxx01,pedraro01
rgosexx01,gossari01
fguraxx01,gracefr01
jgeinxx01,gainejo01
enottxx01,knotter01
mguraxx01,gulanmi01
ltanexx01,tunnele01
jdiasxx01,diazjo01
tkyabxx01,cabbatr01
rburaxx02,brownro01
bboukxx01,boiscbr01
mdenixx01,deninmi01
tniirxx01,neeltr01
lferuxx01,fernalu01
aeibaxx01,abadan01
cbaruxx03,vargace01
ybetaxx01,betanyu01
tsurexx01,sledgte01
lparixx01,parrila01
jmaruxx01,malooja01
smoyaxx01,moyast01
asuarxx02,suarean01
jadouxx01,adducji01
mhoorxx01,hallme01
hpurixx01,pulliha01
jbidoxx01,biddlje01
lperuxx01,perdolu01
emontxx01,montiem01
kmikoxx01,mickoka01
hburixx01,breedha01
lburixx01,brinsle01
mburoxx04,brossmi01
jootexx01,ortizjo01
trobuxx01,robsoto01
ppeinxx01,paineph01
yburaxx01,brazoyh01
eesukxx01,escobed01
erodoxx01,rodriel01
ldobixx01,dobyla01
cribexx01,riverca02
lsutaxx01,stantle01
nmaruxx01,martini01
drazuxx01,rasneda01
azabaxx01,zabalan01
wrubuxx01,leblawa01
jrozaxx01,rosarji01
rpenbxx01,pemberu01
rorusxx01,olsenri01
muinxx01,wynnema01
graroxx01,larocgr01
ikuruxx01,cruziv01
thaapxx01,harpete01
bkurexx01,cramebo01
rtatexx01,tatisra01
gsuchxx01,stephge01
egyarxx01,gailled01
dmashxx01,mathido01
tperexx01,perezti01
djonsxx01,johnsda02
bjakoxx01,jacobbr01
auiruxx01,wilkeaa01
lmeroxx01,merlolo01
bsoorxx01,sorrebi01
dmaafxx01,murphdw01
wdeebxx01,daviswi01
tmyuuxx01,muserto01
juiirxx01,wielajo01
mkiioxx02,keougma01
londoxx01,ondrulo01
mkekixx01,kekicmi01
jsantxx02,santaju01
pranbxx01,lambepe01
pkookxx01,cokeph01
skokkxx01,coxst01
aesukxx01,escobal01
eheruxx01,germaes01
gmosuxx01,moscogu01
thigixx01,higgity01
wkuroxx01,cromawa01
mraibxx01,livelmi01
dkoorxx01,colesda01
djakuxx01,jacksda01
ihanpxx01,hamptik01
bnaitxx01,knighbr01
gburaxx01,bragggl01
nebanxx01,evansni01
myafuxx01,yajurmi01
gbukoxx01,vukovge01
kbaanxx01,beirnke01
rmakuxx01,mcbrory01
jteetxx02,tatumji01
jrafixx02,ruffijo01
bboguxx01,bogusbr01
akeixx01,kayan01
cponsxx02,ponceco01
ariguxx01,riggsad01
ynabaxx01,navarya01
mburoxx03,broadmi01
pbaruxx01,valdepe01
ekoodxx01,cordier01
fhawaxx01,howarfr01
rsupixx01,spilbry01
yrodoxx01,rodriya01
vgaraxx01,garatvi01
fsepexx01,cepedfr01
jreixx01,rayjo01
afigaxx01,figaral01
mfuraxx03,francma01
djimaxx01,zimmedo01
jtonpxx01,thompja01
jparixx01,paredjo01
dandaxx01,anderdr01
miisuxx01,easlemi01
nuiruxx01,wilsoni01
kguroxx01,grosski01
yererxx01,herreyo01
jpaarxx01,parrajo01
fkogixx01,coggifr01
cfossxx01,fossuca01
fbainxx01,bynumfr01
sromexx01,romerst01
mandoxx01,andremi01
lkasuxx01,kaspale01
pdeedxx01,dadepa01
bogurxx01,oglivbe01
lgonzxx02,gonzalu02
duirixx02,willida01
cranbxx01,lambich01
jferuxx01,fernajo01
jbitexx01,vitiejo01
btoorxx01,tolanbo01
fkaraxx02,carrafe01
shamoxx01,hammost01
brahexx01,lahaibr01
lropexx02,lopezlu01
rbachxx01,batisra01
rnanixx01,nanitri01
jruukxx01,luekejo01
mhofuxx01,hoffpmi01
craitxx01,wrighcl01
thankxx01,hankite01
khojjxx01,hodgeke01
agaiexx01,guielaa01
hmeruxx01,mercahe01
fhaamxx01,herrmfr01
fkyabxx01,cabrefr01
rrosaxx02,rosarra01
trobuxx02,lovulto01
jburaxx02,broweji01
lmuutxx01,moutoly01
kmaatxx01,martiky01
gamaaxx01,ammange01
rberuxx01,bertore01
zarumxx01,almonzo01
ddosuxx01,dosteda01
sjonsxx01,johnsst01
rderaxx01,delarru01
dhiruxx01,hiltoda01
emontxx02,monteel01
hbatoxx01,battlho01
lmirexx01,millela01
ryangxx01,youngra01
dremoxx01,lemondo01
jkoraxx01,corrajo01
jesupxx01,espadjo01
mbancxx01,bunchme01
pburaxx01,bradlph01
wpaakxx01,parkewe01
rsuarxx01,suarero01
ssupexx01,spencsh01
mbanyxx01,banuema01
ppattxx01,putnapa01
dhoojxx01,hoseydw01
rpintxx01,pintore01
djkarxx01,carradj01
mdafixx01,duffyma01
jrinaxx01,linarju01
anyuuxx01,newmaal01
ctoomxx01,thomaco01
croorxx01,lawreca01
dsuchxx01,stuardi01
fromexx01,romerfe01
mdiazxx01,diazmi01
rorerxx01,orellra01
lsuchxx01,stevele01
tdoirxx01,doylete01
rmaiyxx01,myersro01
wobamxx01,obermwe01
sfaifxx01,fifest01
bjoonxx01,jonesbo01
jrigaxx01,riggaje01
tdeibxx01,daveyto01
sburexx01,bullesc01
rgeirxx01,galeri01
ydorexx01,drakeya01
mkaraxx01,carasma01
briicxx01,leachbr01
pmissxx01,mischpa01
rroozxx01,rosero01
lmaruxx01,martilu01
jrindxx01,lindja01
smarexx01,mullesc01
mbaakxx01,birkbmi01
jmiesxx01,miesejo01
dmisexx01,micelda01
aesupxx01,espinan01
jsumoxx01,smoakju01
mdebixx01,davidma01
rorutxx01,ortizra01
nneruxx01,nelsoni01
djiixx01,geedi01
gribexx01,riverge01
jbonixx01,bonnija01
jsoosxx01,sosajo01
dhowaxx01,whitede01
jshaixx01,scheija01
rdiasxx01,diazra01
wrosaxx01,rosarwi01
cfuddxx01,hoodch01
euirixx01,willied01
graitxx01,wrighge01
kmiraxx01,milleku01
bkaarxx01,carlybu01
arojaxx01,rodgean01
lkuruxx01,cruzlu01
jjamaxx01,germaju01
jfirixx01,phillja01
jnyuuxx01,newbeji01
wgyarxx01,garrewa01
zpetoxx01,petriza01
rmessxx01,messera01
cburoxx01,brockch01
ndipuxx01,diplana01
pjonsxx01,johnspi01
bhoonxx01,hornebo01
aechexx02,hechaad01
dkabuxx01,cabreda01
rjiefxx01,jeffere01
lgonsxx01,gonzalu01
landaxx01,anderle01
wmadoxx01,madriwa01
muesuxx01,westma01
cmenexx01,menezco01
jdeyuxx01,duplajo01
mferixx01,felizmi01
jamadxx01,amadoja01
lmendxx01,mendolu01
rburaxx01,bryanra01
asutexx01,stevean01
pfuryxx01,flurypa01
amaiexx01,myettaa01
zfirixx01,phillza01
cemerxx01,emeryca01
jguraxx01,graboja01
kmokkxx01,machake01
jnikoxx01,vidaljo01
wkaakxx01,kirklwi01
sresuxx01,lezcasi01
rmorexx01,morelra01
jdaunxx01,downsje01
csupaxx02,spangco01
jkottxx01,cottojh01
bgibuxx01,gibsobo01
lmoinxx01,moineli01
oteimxx01,timmooz01
pabirxx01,avilape01
rsutaxx01,staniro01
cmarexx01,marrech01
tmaunxx01,mouncto01
ckearxx01,carych01
jmaruxx04,marmojo01
gporaxx01,polangr01
jtorexx02,trabeji01
bmiruxx01,millsbr01
rbotoxx01,bottlro01
