playerID,yearID,stint,Glf,Gcf,Grf
azuseko01,1990,1,,2,1
baanaxx01,2009,1,12,,
badib01,1977,1,2,6,3
banbor01,1985,1,,102,13
banbor01,1986,1,,,35
bandoei01,1963,1,1,,
bandosa01,1962,1,2,,
bandosa01,1966,1,,,1
bandosa01,1976,1,3,1,
bandosa01,1977,1,1,,2
bandosa01,1978,1,,,1
bandosa01,1979,1,2,,1
valerbr01,2022,1,1,,
bathebi01,1991,1,8,,1
bathebi01,1992,1,5,,
beanbi01,1992,1,5,,1
bogusbr01,2016,1,12,17,7
boiscbr01,1980,1,5,21,19
bredebr01,1999,1,29,,
dayetbr01,1988,1,,,21
dayetbr01,1989,1,64,,20
dayetbr01,1990,1,15,,
dayetbr01,1991,1,3,,8
dixonbr01,2021,1,3,,11
distebe01,1990,1,6,4,35
beniia01,2004,1,38,67,17
beniia01,2005,1,11,44,19
beniia01,2006,1,29,3,11
beniia01,2007,1,65,1,19
beniia01,2008,1,39,,8
beniia01,2009,1,28,,10
eldrebr01,2013,1,21,,4
eldrebr01,2014,1,62,,
eldrebr01,2014,2,1,,
eldrebr01,2015,1,60,,
eldrebr01,2016,1,65,,
eldrebr01,2017,1,31,,
besshta01,1942,1,3,,
besshta01,1943,1,,,6
besshta01,1946,1,,,3
besshta01,1949,1,,,2
besshta01,1960,1,1,,
bettoka01,1948,1,1,3,80
bettoka01,1949,1,,,132
bettoka01,1950,1,,116,
bettoka01,1951,1,,102,2
bettoka01,1952,1,,119,
bettoka01,1953,1,,66,
bettoka01,1954,1,,90,
bettoka01,1955,1,,61,
bettoka01,1956,1,,11,
gullibi01,1988,1,,1,2
gullibi01,1989,1,1,,
galveba01,1996,1,1,,
galveba01,1997,1,1,,1
bizenyo01,1961,1,,2,
jenkibo01,1962,1,29,,1
jonesbo01,1979,1,,86,
jonesbo01,1980,1,,47,
klausbi01,1963,1,,,5
chrisbo01,1971,1,,,118
chrisbo01,1972,1,,,66
martibi01,2004,1,,,36
murphbi01,2010,1,,1,
mcnulbi01,1975,1,2,,
marcabo01,1975,1,,1,
marcabo01,1977,1,1,,
marcabo01,1981,1,1,,
marcabo01,1982,1,4,,
mitchbo01,1976,1,67,22,
mitchbo01,1977,1,43,73,
mitchbo01,1978,1,58,28,
mitchbo01,1978,2,1,,
mitchbo01,1979,1,2,1,76
mortobu01,1970,1,,,23
nelsobr01,2003,1,,,7
niemabo01,1963,1,,,100
oglivbe01,1987,1,47,,
oglivbe01,1988,1,9,,1
oglivbe01,1988,2,1,,
ogradbr01,2022,1,97,23,3
pinckbi01,1955,1,9,,31
pinckbi01,1956,1,,,91
brighke01,2023,1,10,,
brighke01,2024,1,3,2,
brighke01,2025,1,9,,13
rodribo01,2002,1,,,116
selbybi01,1997,1,,,23
sorrebi01,1972,1,16,,1
sorrebi01,1973,1,13,,
